Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,0|2026|504|1211|212|47|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|2026|504|1211|212|47|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|2026|504|1211|259|,0|0|0|0|0|0|,29865|0|1388|330|826|162|,0|0|0|0|0|0|,7381|0|337|73|215|33|,3690|0|0|0|0|0|,0|0|0|0|0|0|,3691|0|337|73|215|33|,0|0|0|0|0|0|,0|0|0|0|0|0|,3691|0|337|73|215|33|,2964|0|66|13|37|5|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,727|0|271|60|178|28|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,727|0|271|60|178|28|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|727|0|271|60|206|,0|0|0|0|0|0|,4185|496|0|271|60|206|,0|0|0|0|0|0|,4185|496|0|271|60|206|,2114|0|0|0|0|0|,0|0|0|0|0|0|,2071|496|0|271|60|206|,0|0|0|0|0|0|,0|0|0|0|0|0|,2071|496|0|271|60|206|,1649|119|0|48|9|25|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,422|377|0|223|51|181|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,422|377|0|223|51|181|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|422|377|0|223|232|,0|0|0|0|0|0|,9270|383|377|0|223|232|,0|0|0|0|0|0|,6759|271|282|0|163|191|,3344|0|0|0|0|0|,0|0|0|0|0|0|,3415|271|282|0|163|191|,0|0|0|0|0|0|,0|0|0|0|0|0|,3415|271|282|0|163|191|,2708|80|63|0|26|26|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,707|191|219|0|137|165|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,707|191|219|0|137|165|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|707|191|219|0|302|,0|0|0|0|0|0|,8475|624|191|219|0|302|,0|0|0|0|0|0|,6846|509|160|172|0|249|,3384|0|0|0|0|0|,0|0|0|0|0|0|,3462|509|160|172|0|249|,0|0|0|0|0|0|,0|0|0|0|0|0|,3445|504|158|170|0|248|,2715|123|37|25|0|34|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,730|381|121|145|0|214|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,730|381|121|145|0|214|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|730|381|121|145|214|,0|0|0|0|0|0|,11355|654|381|121|145|214|,0|0|0|0|0|0|,7563|444|261|87|98|144|,3740|0|0|0|0|0|,0|0|0|0|0|0|,3823|444|261|87|98|144|,0|0|0|0|0|0|,0|0|0|0|0|0|,3591|416|251|82|95|132|,2884|103|41|16|12|13|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,707|313|210|66|83|119|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,707|313|210|66|83|119|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|707|313|210|66|202|,0|0|0|0|0|0|,11025|629|313|210|66|202|,0|0|0|0|0|0|,7720|449|207|144|57|147|,3786|0|0|0|0|0|,0|0|0|0|0|0|,3934|449|207|144|57|147|,0|0|0|0|0|0|,0|0|0|0|0|0|,3735|423|199|136|55|139|,2992|105|28|37|5|21|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,743|318|171|99|50|118|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,743|318|171|99|50|118|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|743|318|171|99|168|,0|0|0|0|0|0|,10875|677|318|171|99|168|,0|0|0|0|0|0|,7838|490|224|123|76|118|,3987|0|0|0|0|0|,0|0|0|0|0|0|,3851|490|224|123|76|118|,0|0|0|0|0|0|,0|0|0|0|0|0|,3655|459|211|118|73|111|,2895|104|43|25|15|15|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,760|355|168|93|58|96|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,760|355|168|93|58|96|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|760|355|168|93|154|,0|0|0|0|0|0|,11265|679|355|168|93|154|,0|0|0|0|0|0|,7819|474|252|119|60|108|,3795|0|0|0|0|0|,0|0|0|0|0|0|,4024|474|252|119|60|108|,0|0|0|0|0|0|,0|0|0|0|0|0|,3791|455|245|111|56|101|,3036|117|50|23|9|19|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,755|338|195|88|47|82|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,755|338|195|88|47|82|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|755|338|195|88|129|,0|0|0|0|0|0|,11100|693|338|195|88|129|,0|0|0|0|0|0|,7898|498|241|141|57|82|,4014|0|0|0|0|0|,0|0|0|0|0|0|,3884|498|241|141|57|82|,0|0|0|0|0|0|,0|0|0|0|0|0|,3655|473|230|133|53|79|,2896|125|39|25|7|16|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,759|348|191|108|46|63|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,759|348|191|108|46|63|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|759|348|191|108|109|,0|0|0|0|0|0|,11265|685|348|191|108|109|,0|0|0|0|0|0|,7925|486|239|132|76|78|,3945|0|0|0|0|0|,0|0|0|0|0|0|,3980|486|239|132|76|78|,0|0|0|0|0|0|,0|0|0|0|0|0|,3721|455|224|124|73|73|,3000|99|38|28|11|15|,0|0|0|0|0|0|
10,0|1|2|3|4|5|,721|356|186|96|62|58|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,721|356|186|96|62|58|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|721|356|186|96|120|,0|0|0|0|0|0|,11355|649|356|186|96|120|,0|0|0|0|0|0|,7922|472|249|138|59|84|,3977|0|0|0|0|0|,0|0|0|0|0|0|,3945|472|249|138|59|84|,0|0|0|0|0|0|,0|0|0|0|0|0|,3710|454|240|132|53|77|,2923|106|66|23|9|12|,0|0|0|0|0|0|
11,0|1|2|3|4|5|,787|348|174|109|44|65|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,787|348|174|109|44|65|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|787|348|174|109|109|,0|0|0|0|0|0|,11085|787|348|174|109|109|,0|0|0|0|0|0|,7870|571|250|132|68|81|,3920|0|0|0|0|0|,0|0|0|0|0|0|,3950|571|250|132|68|81|,0|0|0|0|0|0|,0|0|0|0|0|0|,3698|543|233|123|66|75|,2996|143|54|26|11|13|,0|0|0|0|0|0|
12,0|1|2|3|4|5|,702|400|179|97|55|62|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,702|400|179|97|55|62|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|702|400|179|97|117|,0|0|0|0|0|0|,11880|702|400|179|97|117|,0|0|0|0|0|0|,7908|482|259|113|70|70|,3951|0|0|0|0|0|,0|0|0|0|0|0|,3957|482|259|113|70|70|,0|0|0|0|0|0|,0|0|0|0|0|0|,3743|452|252|107|68|66|,2979|118|54|18|5|8|,0|0|0|0|0|0|
13,0|1|2|3|4|5|,764|334|198|89|63|58|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,764|334|198|89|63|58|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|764|334|198|89|121|,0|0|0|0|0|0|,0|764|334|198|89|121|,0|0|0|0|0|0|,0|764|334|198|89|121|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|764|334|198|89|121|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|764|334|198|89|121|,0|169|72|39|16|17|,0|0|0|0|0|0|
14,0|1|2|3|4|5|,0|595|262|159|73|104|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|595|262|159|73|104|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|595|262|159|177|,0|0|0|0|0|0|,0|0|595|262|159|177|,0|0|0|0|0|0|,0|0|595|262|159|177|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|595|262|159|177|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|595|262|159|177|,0|0|118|47|31|23|,0|0|0|0|0|0|
15,0|1|2|3|4|5|,0|0|477|215|128|154|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|477|215|128|154|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|477|215|282|,0|0|0|0|0|0|,0|0|0|477|215|282|,0|0|0|0|0|0|,0|0|0|477|215|282|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|477|215|282|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|477|215|282|,0|0|0|90|21|44|,0|0|0|0|0|0|
16,0|1|2|3|4|5|,0|0|0|387|194|238|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|387|194|238|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|387|432|,0|0|0|0|0|0|,0|0|0|0|387|432|,0|0|0|0|0|0|,0|0|0|0|387|432|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|387|432|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|387|432|,0|0|0|0|57|70|,0|0|0|0|0|0|
17,0|1|2|3|4|5|,0|0|0|0|330|362|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|330|362|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|692|,0|0|0|0|0|0|,0|0|0|0|0|692|,0|0|0|0|0|0|,0|0|0|0|0|692|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|692|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|692|,0|0|0|0|0|96|,0|0|0|0|0|0|
18,0|1|2|3|4|5|,0|0|0|0|0|596|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|596|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|596|,0|0|0|0|0|0|,0|0|0|0|0|596|,0|0|0|0|0|0|,0|0|0|0|0|596|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|596|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|596|,0|0|0|0|0|73|,0|0|0|0|0|0|
